company,rank,rank_change,revenue,profit,num. of employees,sector,city,state,newcomer,ceo_founder,ceo_woman,profitable,prev_rank,CEO,Website,Ticker,Market Cap
United Parcel Service,34,1,97287,12890,400945,Transportation,Atlanta,GA,no,no,yes,yes,35,Carol B. Tomé,www.ups.com,UPS,162355
Lowe's,35,-4,96250,8442,270000,Retailing,Mooresville,NC,no,no,no,yes,31,Marvin R. Ellison,www.lowes.com,LOW,120655
Bank of America,36,-7,93851,31978,208248,Financials,Charlotte,NC,no,no,no,yes,29,Brian T. Moynihan,www.bankofamerica.com,BAC,268697
Johnson & Johnson,37,-1,93775,20878,141700,Health Care,New Brunswick,NJ,no,no,no,yes,36,Joaquin Duato,www.jnj.com,JNJ,451785
Archer Daniels Midland,38,13,85249,2709,39979,"Food, Beverages & Tobacco",Chicago,IL,no,no,no,yes,51,Juan R. Luciano,www.adm.com,ADM,41545
FedEx,39,6,83959,5231,484000,Transportation,Memphis,TN,no,yes,no,yes,45,Rajesh Subramaniam,www.fedex.com,FDX,58577
Humana,40,1,83064,2933,95500,Health Care,Louisville,KY,no,no,no,yes,41,Bruce D. Broussard,www.humana.com,HUM,62653
Wells Fargo,41,-4,82407,21548,247848,Financials,San Francisco,CA,no,no,no,yes,37,Charles W. Scharf,www.wellsfargo.com,WFC,162606
State Farm Insurance,42,-3,82224.7,1280.9,53586,Financials,Bloomington,IL,no,no,no,yes,39,Michael L. Tipsord,www.statefarm.com,,
Pfizer,43,34,81288,21979,79000,Health Care,New York,NY,no,no,no,yes,77,Albert Bourla,www.pfizer.com,PFE,288232
Citigroup,44,-11,79865,21952,221768,Financials,New York,NY,no,no,yes,yes,33,Jane Fraser,www.citigroup.com,C,100976
PepsiCo,45,-1,79474,7618,309000,"Food, Beverages & Tobacco",Purchase,NY,no,no,no,yes,44,Ramon L. Laguarta,www.pepsico.com,PEP,234697
Intel,46,-6,79024,19868,121100,Technology,Santa Clara,CA,no,no,no,yes,40,Patrick P. Gelsinger,www.intel.com,INTC,164460
Procter & Gamble,47,-4,76118,14306,101000,Household Products,Cincinnati,OH,no,no,no,yes,43,Jon R. Moeller,www.pg.com,PG,345595
General Electric,48,-10,74196,-6520,168000,Industrials,Boston,MA,no,no,no,no,38,H. Lawrence Culp Jr.,www.ge.com,GE,73458
IBM,49,-7,72344,5743,297800,Technology,Armonk,NY,no,no,no,yes,42,Arvind Krishna,https://www.ibm.com,IBM,107307
MetLife,50,-4,71080,6554,43000,Financials,New York,NY,no,no,no,yes,46,Michel A. Khalaf,www.metlife.com,MET,49443
Prudential Financial,51,4,70934,7724,40916,Financials,Newark,NJ,no,no,no,yes,55,Charles F. Lowrey,www.prudential.com,PRU,35689
